,Unnamed: 0,actual,SVM Preds,LGB Preds,XGB Preds,CB Preds,MNB_BOW,MNB_TF-IDF
1775,16969,CG,CG,CG,CG,CG,CG,CG
1776,22466,CG,CG,CG,OR,OR,CG,CG
1777,10925,OR,OR,OR,OR,OR,OR,OR
1778,39947,OR,OR,OR,OR,OR,OR,OR
1779,31668,OR,OR,OR,OR,OR,OR,OR
1780,31483,OR,OR,OR,OR,OR,OR,OR
1781,2907,CG,CG,CG,CG,CG,CG,CG
1782,25508,OR,OR,OR,OR,OR,OR,OR
1783,19062,CG,CG,CG,CG,CG,CG,CG
1784,1453,OR,OR,OR,OR,OR,CG,OR
1785,11903,OR,OR,OR,OR,OR,OR,OR
1786,2111,OR,OR,OR,OR,OR,OR,OR
1787,11342,CG,CG,CG,CG,CG,CG,CG
1788,6925,CG,CG,CG,CG,CG,CG,CG
1789,30249,OR,OR,OR,OR,CG,OR,OR
1790,3899,OR,OR,OR,OR,OR,OR,OR
1791,19764,OR,CG,CG,CG,CG,CG,CG
1792,26710,OR,OR,OR,OR,OR,OR,OR
1793,19725,CG,CG,CG,CG,CG,CG,CG
1794,144,CG,CG,CG,CG,CG,CG,CG
1795,2531,OR,OR,OR,OR,OR,OR,OR
1796,34123,CG,OR,OR,OR,OR,CG,CG
1797,32923,CG,CG,CG,CG,CG,CG,CG
1798,23368,OR,OR,OR,OR,OR,OR,OR
1799,39023,OR,OR,OR,OR,OR,OR,OR
1800,10079,OR,CG,CG,OR,OR,OR,OR
1801,1426,CG,OR,OR,OR,CG,CG,CG
1802,37628,CG,CG,CG,CG,CG,CG,CG
1803,22022,OR,OR,OR,OR,OR,OR,OR
1804,32965,OR,CG,CG,OR,OR,CG,OR
1805,38562,CG,CG,CG,CG,CG,CG,CG
1806,37283,OR,CG,CG,CG,CG,CG,CG
1807,24801,OR,OR,OR,OR,OR,CG,OR
1808,20835,OR,OR,OR,OR,OR,OR,OR
1809,19383,OR,OR,OR,OR,OR,OR,OR
1810,33704,CG,CG,CG,OR,CG,CG,CG
1811,35755,CG,OR,OR,OR,OR,CG,CG
1812,1077,CG,CG,CG,CG,CG,CG,OR
1813,26537,CG,CG,CG,CG,CG,CG,CG
1814,25930,OR,CG,CG,OR,CG,CG,CG
1815,36582,CG,CG,CG,CG,CG,CG,CG
1816,2269,CG,CG,CG,CG,CG,CG,CG
1817,29690,OR,OR,OR,OR,OR,OR,OR
1818,25694,CG,OR,OR,OR,OR,CG,CG
1819,14664,CG,CG,CG,CG,CG,CG,CG
1820,10178,CG,CG,CG,CG,CG,CG,CG
1821,16403,OR,OR,OR,OR,OR,OR,OR
1822,18670,CG,OR,OR,OR,OR,CG,CG
1823,2494,CG,CG,CG,CG,CG,CG,CG
1824,12512,CG,CG,CG,CG,CG,OR,OR
1825,17511,CG,CG,CG,CG,CG,CG,CG
1826,2445,OR,OR,OR,OR,OR,OR,OR
1827,35976,OR,OR,OR,OR,OR,OR,OR
1828,24411,OR,OR,OR,OR,OR,OR,OR
1829,22582,OR,OR,OR,OR,OR,OR,OR
1830,31712,CG,CG,CG,CG,CG,CG,CG
1831,10480,CG,CG,CG,CG,CG,CG,CG
1832,30179,CG,CG,CG,CG,CG,CG,CG
1833,1034,OR,OR,OR,OR,OR,OR,OR
1834,8801,OR,OR,OR,OR,OR,OR,OR
1835,25979,CG,CG,CG,CG,CG,CG,CG
1836,29696,OR,OR,OR,OR,OR,OR,OR
1837,8504,CG,OR,OR,CG,CG,CG,CG
1838,38478,OR,OR,OR,OR,OR,CG,OR
1839,9205,OR,CG,CG,OR,OR,OR,OR
1840,10710,CG,OR,OR,OR,OR,OR,OR
1841,896,CG,CG,CG,CG,CG,CG,CG
1842,39398,CG,CG,CG,OR,OR,CG,CG
1843,14564,CG,CG,CG,CG,CG,CG,CG
1844,879,CG,CG,CG,CG,CG,CG,CG
1845,5421,OR,OR,OR,CG,OR,CG,CG
1846,13238,CG,CG,CG,CG,CG,CG,CG
1847,27795,CG,CG,CG,CG,CG,CG,CG
1848,11121,OR,OR,OR,OR,OR,OR,OR
1849,39977,CG,CG,CG,CG,CG,CG,CG
1850,11275,OR,OR,OR,OR,OR,OR,OR
1851,27470,CG,CG,CG,CG,CG,CG,CG
1852,7339,CG,CG,CG,CG,CG,CG,CG
1853,12477,OR,OR,OR,OR,OR,CG,CG
1854,24689,CG,CG,CG,CG,CG,CG,CG
1855,20442,CG,OR,OR,OR,OR,CG,OR
1856,25992,OR,OR,OR,OR,OR,OR,OR
1857,27553,OR,OR,OR,OR,OR,OR,OR
1858,11165,OR,OR,OR,OR,OR,OR,OR
1859,8028,CG,CG,CG,CG,CG,CG,CG
1860,26126,CG,CG,CG,CG,CG,CG,CG
1861,23425,OR,OR,OR,OR,OR,OR,OR
1862,39420,OR,OR,OR,CG,OR,OR,OR
1863,33382,OR,OR,OR,OR,OR,OR,OR
1864,8223,OR,OR,OR,OR,OR,OR,OR
1865,27956,CG,CG,CG,CG,CG,CG,CG
1866,23717,OR,OR,OR,CG,OR,CG,OR
1867,23266,OR,OR,OR,CG,CG,OR,OR
1868,17023,CG,CG,CG,CG,CG,CG,CG
1869,17284,CG,CG,CG,CG,CG,CG,CG
1870,7258,CG,CG,CG,CG,CG,CG,CG
1871,20185,CG,CG,CG,CG,CG,CG,OR
1872,8777,OR,CG,CG,OR,OR,OR,OR
1873,36530,CG,CG,CG,CG,CG,CG,CG
1874,15397,CG,CG,CG,CG,CG,CG,CG
1875,1796,OR,OR,OR,OR,OR,CG,OR
1876,39524,OR,OR,OR,CG,CG,CG,OR
1877,470,OR,OR,OR,OR,OR,CG,OR
1878,2331,OR,OR,OR,OR,OR,OR,OR
1879,15703,CG,CG,CG,CG,CG,CG,CG
1880,23534,CG,CG,CG,CG,CG,CG,CG
1881,11015,CG,CG,CG,CG,CG,CG,CG
1882,17770,CG,CG,CG,CG,CG,CG,CG
1883,38429,OR,CG,CG,OR,OR,CG,CG
1884,14524,OR,OR,OR,OR,OR,OR,OR
1885,39470,OR,OR,OR,OR,OR,OR,OR
1886,8891,CG,CG,CG,CG,CG,CG,CG
1887,27815,OR,OR,OR,OR,OR,OR,OR
1888,6885,OR,OR,OR,OR,OR,OR,OR
1889,31586,CG,CG,CG,CG,CG,CG,CG
1890,11306,OR,OR,OR,OR,OR,OR,OR
1891,27091,CG,CG,CG,CG,CG,CG,CG
1892,31447,OR,CG,CG,CG,CG,OR,OR
1893,9062,CG,OR,OR,CG,CG,CG,CG
1894,25349,CG,CG,CG,CG,CG,CG,CG
1895,36295,OR,OR,OR,OR,OR,OR,OR
1896,4647,CG,CG,CG,CG,CG,CG,CG
1897,30843,CG,CG,CG,CG,OR,CG,CG
1898,33444,OR,OR,OR,OR,OR,OR,OR
1899,29605,CG,CG,CG,CG,CG,CG,CG
1900,31610,OR,CG,CG,CG,CG,OR,OR
1901,37915,CG,OR,OR,OR,CG,CG,CG
1902,35583,CG,CG,CG,OR,OR,CG,CG
1903,13,CG,OR,OR,CG,CG,OR,OR
1904,36421,OR,OR,OR,OR,OR,OR,OR
1905,16815,OR,OR,OR,OR,OR,CG,OR
1906,18809,CG,CG,CG,CG,CG,CG,CG
1907,29348,CG,CG,CG,CG,CG,CG,CG
1908,29156,CG,CG,CG,CG,CG,CG,CG
1909,28672,OR,OR,OR,OR,OR,OR,OR
1910,4160,CG,CG,CG,OR,CG,CG,CG
1911,1418,CG,CG,CG,OR,OR,CG,CG
1912,16656,CG,CG,CG,CG,CG,CG,CG
1913,14417,OR,OR,OR,OR,OR,OR,OR
1914,1319,OR,OR,OR,OR,OR,CG,CG
1915,4741,CG,CG,CG,CG,CG,CG,CG
1916,18421,OR,OR,OR,OR,OR,OR,OR
1917,6002,OR,OR,OR,OR,OR,OR,OR
1918,12556,CG,CG,CG,CG,CG,OR,OR
1919,35831,OR,OR,OR,OR,OR,OR,OR
1920,5610,CG,CG,CG,CG,CG,CG,CG
1921,5762,CG,CG,CG,CG,CG,CG,CG
1922,34184,CG,CG,CG,CG,CG,CG,CG
1923,32155,CG,CG,CG,CG,CG,CG,CG
1924,29911,OR,OR,OR,OR,OR,OR,OR
1925,38274,OR,OR,OR,OR,OR,CG,OR
1926,19735,CG,OR,OR,OR,OR,OR,OR
1927,36508,CG,CG,CG,CG,CG,CG,CG
1928,36387,OR,OR,OR,OR,OR,OR,OR
1929,19645,CG,CG,CG,CG,CG,CG,CG
1930,18025,OR,OR,OR,OR,OR,OR,OR
1931,23537,OR,OR,OR,OR,OR,OR,OR
1932,23861,OR,OR,OR,OR,CG,CG,OR
1933,16996,OR,CG,CG,OR,OR,OR,OR
1934,32974,OR,OR,OR,OR,CG,OR,OR
1935,24261,CG,CG,CG,CG,CG,CG,CG
1936,28533,CG,CG,CG,OR,CG,CG,OR
1937,26506,OR,OR,OR,OR,OR,OR,OR
1938,29694,OR,CG,CG,CG,CG,OR,OR
1939,8409,OR,CG,CG,CG,OR,OR,OR
1940,1536,OR,OR,OR,OR,OR,OR,OR
1941,14492,OR,OR,OR,OR,OR,OR,OR
1942,37030,CG,CG,CG,CG,CG,CG,CG
1943,13842,OR,OR,OR,OR,OR,OR,OR
1944,25002,OR,OR,OR,OR,OR,OR,OR
1945,13630,OR,OR,OR,OR,OR,OR,OR
1946,31470,OR,OR,OR,OR,OR,OR,OR
1947,33882,OR,OR,OR,OR,OR,CG,CG
1948,3425,OR,OR,OR,OR,OR,OR,OR
1949,38344,CG,OR,OR,OR,CG,CG,CG
1950,25071,CG,CG,CG,CG,CG,CG,CG
1951,1043,CG,OR,OR,OR,OR,CG,CG
1952,1786,CG,CG,CG,CG,CG,CG,CG
1953,1784,CG,CG,CG,CG,CG,CG,CG
1954,5102,CG,CG,CG,CG,CG,CG,CG
1955,1213,CG,OR,OR,OR,OR,CG,CG
1956,18490,OR,OR,OR,OR,OR,OR,OR
1957,499,CG,CG,CG,CG,CG,CG,CG
1958,30913,CG,CG,CG,CG,CG,CG,CG
1959,4563,OR,OR,OR,CG,OR,OR,OR
1960,2757,CG,OR,OR,CG,OR,CG,OR
1961,3108,CG,CG,CG,CG,CG,CG,CG
1962,10157,CG,CG,CG,CG,CG,CG,CG
1963,34256,CG,OR,OR,OR,OR,CG,CG
1964,14453,OR,OR,OR,OR,OR,OR,OR
1965,9556,OR,CG,CG,CG,OR,CG,OR
1966,23683,OR,OR,OR,OR,OR,OR,OR
1967,25962,OR,OR,OR,OR,OR,OR,OR
1968,12570,OR,OR,OR,OR,OR,OR,OR
1969,9693,CG,CG,CG,CG,CG,CG,CG
1970,23549,OR,OR,OR,OR,OR,OR,OR
1971,34219,OR,OR,OR,OR,OR,OR,OR
1972,33666,OR,OR,OR,OR,OR,OR,OR
1973,17672,OR,OR,OR,OR,OR,OR,OR
1974,1866,CG,CG,CG,CG,CG,CG,CG
1975,29965,CG,CG,CG,CG,CG,CG,CG
1976,31997,OR,OR,OR,OR,OR,OR,OR
1977,13832,CG,CG,CG,CG,CG,CG,CG
1978,15747,OR,OR,OR,OR,OR,OR,OR
1979,16401,OR,OR,OR,OR,OR,OR,OR
1980,26187,CG,CG,CG,OR,OR,CG,CG
1981,16951,CG,CG,CG,OR,CG,CG,CG
1982,22846,CG,CG,CG,CG,CG,CG,CG
1983,38151,OR,OR,OR,OR,OR,CG,OR
1984,13298,OR,OR,OR,OR,OR,CG,CG
1985,13452,OR,OR,OR,OR,OR,OR,OR
1986,4811,CG,OR,OR,CG,CG,CG,CG
1987,7964,CG,CG,CG,CG,CG,CG,CG
1988,25177,OR,OR,OR,OR,OR,OR,OR
1989,15420,CG,CG,CG,CG,CG,CG,CG
1990,9561,OR,OR,OR,OR,OR,OR,OR
1991,19602,OR,OR,OR,CG,OR,OR,OR
1992,35928,OR,OR,OR,OR,OR,OR,OR
1993,14644,OR,OR,OR,OR,OR,OR,OR
1994,26720,CG,CG,CG,CG,CG,CG,CG
1995,23353,CG,CG,CG,OR,CG,CG,CG
1996,5227,OR,OR,OR,OR,OR,OR,OR
1997,14020,CG,CG,CG,CG,CG,CG,CG
1998,8368,CG,CG,CG,CG,CG,CG,CG
1999,3928,CG,CG,CG,CG,CG,CG,CG
2000,21858,CG,CG,CG,CG,CG,CG,CG
2001,22768,CG,CG,CG,CG,CG,CG,CG
2002,20869,OR,CG,CG,OR,OR,CG,OR
2003,18786,OR,OR,OR,OR,OR,OR,OR
2004,22122,OR,OR,OR,OR,OR,OR,OR
2005,16229,CG,CG,CG,CG,CG,CG,CG
2006,17041,OR,OR,OR,OR,OR,CG,OR
2007,532,OR,OR,OR,OR,OR,OR,OR
2008,27955,OR,OR,OR,OR,OR,OR,OR
2009,31145,CG,CG,CG,CG,CG,CG,CG
2010,38130,CG,CG,CG,CG,CG,CG,CG
2011,30011,CG,CG,CG,CG,CG,CG,OR
2012,36981,OR,OR,OR,OR,OR,OR,OR
2013,24320,OR,OR,OR,OR,OR,OR,OR
2014,26826,OR,OR,OR,OR,OR,OR,OR
2015,5262,CG,CG,CG,CG,CG,CG,CG
2016,11713,CG,OR,OR,OR,OR,OR,OR
2017,5401,CG,CG,CG,CG,CG,CG,CG
2018,3460,OR,OR,OR,OR,OR,OR,OR
2019,631,OR,OR,OR,OR,OR,OR,OR
2020,10484,CG,CG,CG,CG,CG,CG,CG
2021,32687,OR,OR,OR,OR,OR,OR,OR
2022,31583,CG,CG,CG,CG,CG,CG,CG
2023,32023,CG,CG,CG,CG,CG,CG,CG
2024,18131,OR,OR,OR,OR,OR,OR,OR
2025,8763,CG,CG,CG,CG,CG,CG,CG
2026,11438,CG,CG,CG,CG,CG,CG,CG
2027,38773,CG,CG,CG,CG,CG,CG,CG
2028,7724,CG,CG,CG,CG,CG,CG,CG
2029,39139,CG,CG,CG,CG,CG,CG,CG
2030,4974,CG,OR,OR,OR,OR,OR,OR
2031,28972,CG,OR,OR,CG,CG,CG,CG
2032,25014,CG,CG,CG,CG,CG,CG,CG
2033,33206,CG,OR,OR,CG,CG,CG,CG
2034,23995,OR,OR,OR,OR,OR,CG,OR
2035,37448,CG,CG,CG,CG,CG,CG,CG
2036,14788,OR,OR,OR,OR,OR,OR,OR
2037,2554,OR,OR,OR,OR,OR,OR,OR
2038,5343,OR,OR,OR,OR,OR,OR,OR
2039,33910,OR,CG,CG,CG,CG,OR,OR
2040,23379,OR,OR,OR,OR,OR,OR,OR
2041,13477,CG,CG,CG,CG,OR,CG,CG
2042,29024,OR,OR,OR,OR,OR,OR,OR
2043,32840,CG,OR,OR,OR,OR,OR,OR
2044,14314,OR,OR,OR,OR,OR,OR,OR
2045,24100,OR,OR,OR,OR,OR,OR,OR
2046,21697,OR,OR,OR,OR,OR,OR,OR
2047,27616,OR,OR,OR,OR,OR,OR,OR
2048,9480,CG,CG,CG,CG,CG,CG,CG
2049,7625,OR,OR,OR,OR,OR,OR,OR
2050,2351,OR,OR,OR,OR,OR,OR,OR
2051,25505,OR,OR,OR,OR,OR,OR,OR
2052,5030,CG,CG,CG,CG,CG,CG,CG
2053,12986,CG,CG,CG,CG,CG,CG,CG
2054,19592,OR,OR,OR,OR,OR,OR,OR
2055,19392,CG,CG,CG,CG,CG,CG,CG
2056,14943,CG,CG,CG,CG,CG,CG,CG
2057,9165,CG,OR,OR,OR,OR,OR,OR
2058,12902,OR,OR,OR,OR,OR,OR,OR
2059,17608,CG,CG,CG,CG,CG,CG,CG
2060,3935,OR,OR,OR,OR,OR,OR,OR
2061,9100,CG,CG,CG,CG,CG,CG,CG
2062,25951,CG,OR,OR,CG,OR,CG,CG
2063,14090,CG,CG,CG,CG,CG,CG,CG
2064,32946,OR,OR,OR,OR,OR,OR,CG
2065,5134,OR,OR,OR,OR,OR,OR,OR
2066,19941,OR,OR,OR,OR,OR,OR,OR
2067,22894,OR,OR,OR,OR,OR,OR,OR
2068,28025,OR,OR,OR,OR,OR,OR,OR
2069,34213,OR,OR,OR,OR,OR,OR,OR
2070,10146,OR,OR,OR,OR,OR,OR,OR
2071,39304,CG,CG,CG,CG,CG,CG,CG
2072,28474,CG,CG,CG,CG,CG,CG,CG
2073,34688,CG,CG,CG,CG,CG,CG,CG
2074,23712,OR,CG,CG,OR,CG,CG,OR
2075,11922,CG,OR,OR,CG,CG,OR,OR
2076,1174,OR,OR,OR,OR,OR,OR,OR
2077,6911,CG,CG,CG,CG,CG,CG,CG
2078,33230,OR,OR,OR,OR,OR,OR,OR
2079,27363,OR,OR,OR,OR,OR,OR,OR
2080,30056,CG,CG,CG,CG,CG,CG,CG
2081,21865,OR,OR,OR,OR,OR,OR,OR
2082,31702,CG,CG,CG,CG,CG,CG,CG
2083,596,CG,CG,CG,CG,CG,CG,CG
2084,14344,CG,CG,CG,CG,CG,CG,CG
2085,39792,CG,CG,CG,CG,CG,CG,CG
2086,31719,OR,CG,CG,CG,CG,CG,OR
2087,29190,CG,OR,OR,OR,OR,CG,CG
2088,14756,OR,OR,OR,OR,OR,OR,OR
2089,26297,CG,CG,CG,CG,CG,CG,CG
2090,4518,CG,CG,CG,CG,CG,CG,CG
2091,1478,CG,CG,CG,CG,CG,CG,CG
2092,11245,OR,OR,OR,OR,OR,OR,OR
2093,1078,CG,OR,OR,CG,OR,OR,OR
2094,13108,OR,OR,OR,OR,OR,OR,OR
2095,3933,OR,OR,OR,OR,OR,OR,OR
2096,18363,OR,OR,OR,OR,OR,OR,OR
2097,30239,OR,OR,OR,OR,OR,OR,OR
2098,16290,CG,OR,OR,OR,OR,CG,OR
2099,471,OR,OR,OR,OR,OR,OR,OR
2100,12957,OR,CG,CG,CG,CG,CG,OR
2101,28502,OR,OR,OR,OR,OR,OR,OR
2102,17516,CG,CG,CG,OR,OR,CG,CG
2103,8517,OR,CG,CG,CG,CG,CG,CG
2104,31051,OR,OR,OR,OR,OR,OR,OR
2105,30124,OR,OR,OR,OR,OR,OR,OR
2106,11234,CG,CG,CG,CG,CG,CG,CG
2107,3885,OR,OR,OR,OR,OR,OR,OR
2108,38034,CG,OR,OR,OR,OR,CG,OR
2109,18234,CG,CG,CG,CG,CG,CG,CG
2110,33137,OR,OR,OR,OR,OR,OR,OR
2111,29859,OR,CG,CG,CG,OR,OR,OR
2112,26629,OR,OR,OR,OR,OR,OR,OR
2113,33753,OR,CG,CG,CG,CG,CG,CG
2114,29105,OR,OR,OR,OR,OR,CG,OR
2115,32462,CG,CG,CG,CG,CG,CG,CG
2116,27276,CG,CG,CG,CG,CG,CG,CG
2117,37064,CG,CG,CG,CG,CG,CG,CG
2118,27402,CG,CG,CG,CG,CG,CG,CG
2119,34436,OR,OR,OR,OR,OR,OR,OR
2120,15205,OR,OR,OR,OR,OR,OR,OR
2121,14321,CG,CG,CG,CG,CG,CG,CG
2122,31251,OR,OR,OR,OR,OR,OR,OR
2123,32514,CG,CG,CG,CG,CG,CG,CG
2124,25352,CG,CG,CG,OR,CG,CG,CG
2125,14998,CG,CG,CG,CG,OR,CG,CG
2126,26359,CG,CG,CG,CG,CG,CG,CG
2127,36489,OR,OR,OR,OR,OR,OR,OR
2128,34599,CG,OR,OR,OR,OR,CG,CG
2129,20333,CG,OR,OR,OR,OR,CG,CG
2130,25885,OR,OR,OR,OR,OR,OR,OR
2131,31286,CG,CG,CG,CG,CG,CG,OR
2132,25850,OR,CG,CG,OR,OR,OR,OR
2133,26473,CG,OR,OR,OR,OR,OR,OR
2134,28089,CG,CG,CG,CG,CG,CG,CG
2135,5040,CG,CG,CG,CG,CG,CG,CG
2136,1566,CG,CG,CG,CG,CG,CG,CG
2137,428,CG,CG,CG,CG,CG,CG,CG
2138,7193,OR,OR,OR,OR,OR,OR,OR
2139,37104,OR,OR,OR,OR,OR,CG,CG
2140,2865,OR,CG,CG,CG,CG,OR,OR
2141,26717,CG,CG,CG,CG,CG,CG,CG
2142,96,OR,CG,CG,CG,CG,CG,CG
2143,34583,OR,OR,OR,OR,OR,OR,OR
2144,28235,CG,CG,CG,CG,CG,CG,CG
2145,12804,OR,OR,OR,OR,OR,OR,OR
2146,6865,CG,CG,CG,CG,CG,CG,CG
2147,18221,CG,CG,CG,CG,CG,CG,CG
2148,3318,OR,OR,OR,OR,OR,OR,OR
2149,13852,CG,CG,CG,CG,CG,CG,CG
2150,8206,OR,OR,OR,OR,OR,OR,OR
2151,21290,CG,CG,CG,CG,CG,CG,CG
2152,9928,OR,OR,OR,OR,OR,OR,OR
2153,11821,OR,OR,OR,OR,OR,OR,OR
2154,16000,OR,CG,CG,OR,OR,OR,OR
2155,31811,CG,OR,OR,OR,OR,OR,OR
2156,39276,CG,CG,CG,CG,CG,CG,CG
2157,12932,CG,CG,CG,OR,OR,CG,CG
2158,25324,OR,CG,CG,CG,CG,OR,OR
2159,1162,OR,CG,CG,CG,CG,CG,CG
2160,32269,CG,OR,OR,OR,OR,CG,OR
2161,13659,OR,OR,OR,OR,OR,OR,OR
2162,20948,OR,OR,OR,OR,OR,OR,OR
2163,12005,CG,CG,CG,CG,CG,CG,CG
2164,21455,OR,OR,OR,OR,OR,OR,OR
2165,13754,CG,CG,CG,CG,CG,CG,CG
2166,5687,OR,CG,CG,CG,CG,CG,CG
2167,15269,OR,OR,OR,OR,OR,OR,OR
2168,1413,OR,OR,OR,CG,CG,OR,OR
2169,24740,OR,OR,OR,OR,OR,OR,OR
2170,3581,OR,OR,OR,OR,OR,OR,OR
2171,25377,CG,CG,CG,CG,CG,CG,CG
2172,34596,CG,CG,CG,CG,CG,CG,CG
2173,17176,OR,OR,OR,OR,OR,OR,OR
2174,12739,OR,OR,OR,OR,OR,OR,OR
2175,29544,OR,OR,OR,OR,CG,OR,OR
2176,9242,CG,CG,CG,CG,CG,CG,CG
2177,32761,OR,OR,OR,OR,OR,OR,OR
2178,28983,CG,CG,CG,OR,OR,CG,OR
2179,12711,OR,OR,OR,OR,OR,OR,CG
2180,30476,OR,CG,CG,OR,OR,OR,OR
2181,28645,CG,CG,CG,CG,CG,CG,CG
2182,20259,CG,CG,CG,CG,CG,CG,CG
2183,447,OR,OR,OR,OR,OR,OR,OR
2184,35048,CG,CG,CG,CG,CG,CG,CG
2185,800,CG,CG,CG,OR,OR,CG,CG
2186,17664,CG,CG,CG,CG,CG,CG,CG
2187,20925,CG,CG,CG,CG,CG,CG,CG
2188,6926,CG,CG,CG,CG,CG,CG,CG
2189,28425,CG,CG,CG,CG,CG,CG,CG
2190,17121,CG,CG,CG,CG,CG,CG,CG
2191,33696,CG,OR,OR,OR,OR,OR,OR
2192,32676,CG,CG,CG,CG,CG,CG,CG
2193,39256,CG,CG,CG,CG,CG,CG,CG
2194,38708,OR,OR,OR,OR,OR,OR,OR
2195,37286,CG,CG,CG,CG,CG,CG,CG
2196,29942,OR,OR,OR,OR,OR,OR,OR
2197,38636,CG,CG,CG,CG,CG,CG,CG
2198,19609,OR,OR,OR,OR,OR,CG,CG
2199,8304,CG,CG,CG,CG,CG,CG,CG
2200,39453,OR,OR,OR,OR,OR,OR,OR
2201,27585,OR,OR,OR,OR,OR,OR,OR
2202,33153,OR,OR,OR,OR,OR,OR,OR
2203,6136,CG,CG,CG,CG,CG,CG,CG
2204,2982,OR,OR,OR,OR,OR,OR,OR
2205,4032,CG,CG,CG,CG,CG,CG,CG
2206,25749,OR,CG,CG,OR,CG,OR,OR
2207,32163,OR,OR,OR,OR,OR,OR,OR
2208,25690,CG,OR,OR,OR,CG,CG,CG
2209,1562,CG,CG,CG,CG,CG,CG,CG
2210,584,CG,OR,OR,OR,OR,CG,OR
2211,13757,CG,OR,OR,OR,OR,CG,CG
2212,14384,CG,CG,CG,CG,CG,CG,CG
2213,15497,OR,OR,OR,OR,OR,OR,OR
2214,35523,OR,OR,OR,OR,OR,OR,OR
2215,37229,CG,CG,CG,CG,CG,CG,CG
2216,3461,OR,OR,OR,OR,OR,OR,OR
2217,28262,OR,OR,OR,OR,OR,OR,OR
2218,36186,CG,CG,CG,CG,CG,CG,CG
2219,13185,CG,CG,CG,CG,CG,CG,CG
2220,3001,CG,CG,CG,CG,CG,CG,CG
2221,31361,OR,OR,OR,OR,OR,OR,OR
2222,17162,CG,CG,CG,CG,CG,CG,CG
2223,8895,CG,OR,OR,OR,OR,CG,CG
2224,13902,CG,CG,CG,CG,CG,CG,CG
2225,11988,CG,CG,CG,CG,CG,CG,CG
2226,21190,CG,CG,CG,CG,CG,CG,CG
2227,21861,CG,CG,CG,CG,CG,CG,CG
2228,20576,CG,CG,CG,CG,CG,CG,CG
2229,17367,CG,CG,CG,CG,CG,CG,CG
2230,36956,CG,OR,OR,OR,OR,OR,OR
2231,4903,OR,CG,CG,CG,CG,CG,CG
2232,86,OR,OR,OR,OR,OR,OR,OR
2233,724,CG,CG,CG,CG,CG,CG,CG
2234,26631,OR,OR,OR,OR,OR,OR,OR
2235,34666,OR,OR,OR,OR,OR,CG,CG
2236,34910,OR,OR,OR,OR,OR,OR,OR
2237,6328,CG,CG,CG,CG,CG,CG,CG
2238,6048,OR,OR,OR,OR,OR,OR,OR
2239,37667,OR,OR,OR,OR,OR,OR,OR
2240,4421,OR,CG,CG,CG,OR,OR,CG
2241,38384,OR,OR,OR,OR,OR,CG,CG
2242,5179,CG,OR,OR,CG,CG,CG,CG
2243,5640,OR,OR,OR,OR,OR,OR,OR
2244,8403,OR,CG,CG,CG,CG,CG,OR
2245,24033,OR,OR,OR,OR,OR,OR,OR
2246,34853,CG,CG,CG,CG,CG,CG,CG
2247,31176,CG,CG,CG,CG,CG,CG,CG
2248,37828,CG,OR,OR,OR,OR,CG,CG
2249,32605,OR,OR,OR,OR,OR,OR,OR
2250,9103,CG,OR,OR,OR,OR,OR,OR
2251,34597,CG,CG,CG,CG,CG,CG,CG
2252,23552,CG,CG,CG,CG,CG,CG,CG
2253,34438,OR,OR,OR,OR,OR,OR,OR
2254,16828,OR,CG,CG,CG,CG,CG,CG
2255,30199,OR,OR,OR,OR,OR,OR,OR
2256,4347,CG,CG,CG,CG,CG,CG,CG
2257,1023,OR,OR,OR,OR,OR,CG,OR
2258,5841,OR,OR,OR,OR,OR,OR,OR
2259,3548,CG,CG,CG,CG,CG,CG,CG
2260,5325,CG,CG,CG,CG,CG,CG,CG
2261,24287,CG,CG,CG,CG,CG,CG,CG
2262,12519,OR,OR,OR,CG,OR,OR,OR
2263,33752,OR,CG,CG,OR,OR,OR,OR
2264,33809,OR,OR,OR,CG,OR,OR,OR
2265,20849,CG,CG,CG,CG,CG,CG,CG
2266,11309,OR,OR,OR,OR,OR,OR,OR
2267,13914,CG,CG,CG,CG,CG,CG,CG
2268,11257,CG,CG,CG,CG,CG,CG,CG
2269,1763,OR,OR,OR,OR,OR,OR,OR
2270,2362,OR,OR,OR,OR,OR,OR,OR
2271,4156,CG,CG,CG,CG,CG,CG,CG
2272,23139,OR,OR,OR,OR,OR,OR,OR
2273,1270,OR,OR,OR,OR,OR,OR,OR
2274,10320,OR,OR,OR,OR,OR,OR,OR
2275,37361,OR,OR,OR,OR,OR,CG,OR
2276,24725,OR,CG,CG,CG,OR,OR,OR
2277,4285,CG,CG,CG,CG,CG,CG,CG
2278,1232,CG,OR,OR,OR,OR,OR,OR
2279,21047,OR,OR,OR,OR,CG,CG,OR
2280,7685,CG,OR,OR,CG,CG,CG,CG
2281,21843,OR,OR,OR,OR,OR,OR,OR
2282,36661,OR,OR,OR,OR,OR,OR,OR
2283,11797,OR,OR,OR,OR,OR,OR,OR
2284,5795,OR,OR,OR,OR,OR,OR,OR
2285,29224,OR,OR,OR,OR,OR,OR,OR
2286,15134,CG,CG,CG,CG,CG,CG,CG
2287,35492,CG,OR,OR,OR,OR,CG,CG
2288,33191,CG,CG,CG,CG,CG,CG,CG
2289,16317,CG,CG,CG,CG,CG,CG,CG
2290,23423,OR,OR,OR,OR,OR,OR,OR
